city,year,weekofyear,total_cases
iq,2013,3,11
iq,2013,4,23
iq,2013,5,11
iq,2013,6,35
iq,2013,7,11
iq,2013,8,11
iq,2013,9,11
iq,2013,10,11
iq,2013,11,28
iq,2013,12,11
iq,2013,13,0
iq,2013,14,11
iq,2013,15,0
iq,2013,16,8
iq,2013,17,9
iq,2013,18,9
iq,2013,19,5
iq,2013,20,9
iq,2013,21,9
iq,2013,22,6
iq,2013,23,5
iq,2013,24,5
iq,2013,25,3
iq,2013,26,5
