city,year,weekofyear,total_cases
iq,2011,36,2
iq,2011,37,1
iq,2011,38,5
iq,2011,39,6
iq,2011,40,4
iq,2011,41,4
iq,2011,42,1
iq,2011,43,5
iq,2011,44,9
iq,2011,45,15
iq,2011,46,11
iq,2011,47,4
iq,2011,48,5
iq,2011,49,4
iq,2011,50,11
iq,2011,51,9
iq,2012,52,11
iq,2012,1,11
iq,2012,2,11
iq,2012,3,11
iq,2012,4,6
iq,2012,5,11
iq,2012,6,11
iq,2012,7,3
iq,2012,8,5
iq,2012,9,1
iq,2012,10,9
iq,2012,11,1
iq,2012,12,44
iq,2012,13,44
iq,2012,14,2
iq,2012,15,1
iq,2012,16,9
iq,2012,17,9
iq,2012,18,44
iq,2012,19,1
iq,2012,20,3
iq,2012,21,3
iq,2012,22,6
iq,2012,23,44
iq,2012,24,3
iq,2012,25,5
iq,2012,26,44
iq,2012,27,5
iq,2012,28,2
iq,2012,29,4
iq,2012,30,5
iq,2012,31,2
iq,2012,32,2
iq,2012,33,7
iq,2012,34,12
iq,2012,35,1
iq,2012,36,6
iq,2012,37,5
iq,2012,38,2
iq,2012,39,3
iq,2012,40,5
iq,2012,41,4
iq,2012,42,6
iq,2012,43,23
iq,2012,44,9
iq,2012,45,3
iq,2012,46,3
iq,2012,47,9
iq,2012,48,9
iq,2012,49,5
iq,2012,50,15
iq,2012,51,23
iq,2013,1,9
iq,2013,2,14
iq,2013,3,11
iq,2013,4,8
iq,2013,5,9
iq,2013,6,35
iq,2013,7,9
iq,2013,8,11
iq,2013,9,9
iq,2013,10,9
iq,2013,11,28
iq,2013,12,11
iq,2013,13,0
iq,2013,14,11
iq,2013,15,2
iq,2013,16,4
iq,2013,17,9
iq,2013,18,9
iq,2013,19,5
iq,2013,20,9
iq,2013,21,11
iq,2013,22,6
iq,2013,23,19
iq,2013,24,5
iq,2013,25,3
iq,2013,26,6
